GEORGE V 1,11,1666,75108
UGC NORMANDIE 1,4,1610,75108
BALZAC 1,3,590,75108
GAUMONT CHAMPS ELYSEES AMBASSADE 6,7,1568,75108
GAUMONT CHAMPS ELYSEES MARIGNAN 3,6,1701,75108
ELYSEES LINCOLN 1,3,448,75108
GAUMONT OPERA 2,7,2185,75109
GAUMONT OPERA FRANCAIS 8,5,994,75109
UGC OPERA 1,4,760,75109
MAX LINDER,1,591,75109
GRAND REX,7,4274,75102
GAUMONT OPERA PREMIER 1,6,1138,75102
BIENVENUE MONTPARNASSE 2,2,559,75115
UGC MONTPARNASSE 1,7,1592,75106
GAUMONT PARNASSE 1,15,2876,75114
ENTREPOT 1,3,250,75114
MK2 BEAUBOURG 1,6,558,75103
UGC MAILLOT 3,4,764,75117
MK2 HAUTEFEUILLE 1,4,690,75106
MK2 ODEON 2,5,815,75106
STUDIO GALANDE,1,97,75105
LUXEMBOURG 1,3,334,75106
SAINT ANDRE  DES ARTS 1,3,510,75106
MK2 PARNASSE 1,3,284,75106
UGC ROTONDE 1,3,454,75106
BRETAGNE 1,2,1020,75106
LUCERNAIRE FORUM  GRANDE SAL,3,171,75106
PARNASSIEN 1,7,842,75114
LA PAGODE 1,2,392,75107
STUDIO CHRISTINE 1,2,245,75106
ST GERMAIN DES PRES,1,252,75106
PUBLICIS  CINEMA 2,2,609,75108
BEVERLEY,1,100,75102
L'ARCHIPEL 1,2,204,75110
LE BRADY 1,2,139,75110
FORUM ORIENT EXPRESS 1,7,696,75101
UGC CINE CITE LES HALLES 1,19,3213,75101
LATINA 1,2,238,75104
MAJESTIC PASSY 1,3,637,75116
MAC MAHON,1,137,75117
CAUMARTIN 4 (EX CINEVOG 4 ),5,501,75109
SAINT LAZARE PASQUIER 1,3,331,75108
LE CINEMA DES CINEASTES 1,3,478,75117
PATHE WEPLER 8,12,2173,75118
STUDIO 28,1,172,75118
LA GEODE,1,400,75119
BORIS VIAN,1,287,75119
MK2 QUAI DE SEINE 1,6,992,75119
MK2 GAMBETTA 1,6,1238,75120
LA BASTILLE 1,3,483,75111
MAJESTIC BASTILLE 1,2,356,75111
MK2 BASTILLE 1,4,468,75111
MK2 NATION 1,4,976,75112
UGC LYON BASTILLE 3,7,1274,75112
UGC CINE CITE BERCY 10,18,4440,75112
 CHAPLIN  SAINT LAMBERT 1,3,365,75115
GAUMONT CONVENTION 2,6,1078,75115
GAUMONT AQUABOULEVARD 1,14,2583,75115
MONTPARNOS 1,4,356,75114
GAUMONT ALESIA 1,7,1435,75114
MISTRAL 2,5,870,75114
 CHAPLIN DENFERT,1,133,75114
L'ARLEQUIN PANORAMA,3,595,75106
UGC DANTON 1,4,684,75106
NOUVEL ODEON,1,119,75106
UGC ODEON 2,4,816,75106
ESPACE SAINT MICHEL 1,2,210,75105
LE DESPERADO 1,2,200,75105
LE CINEMA DU PANTHEON,1,200,75105
ACCATONE,1,146,75105
LE CHAMPO SALLE 1,2,236,75105
QUARTIER LATIN 1,2,164,75105
STUDIO DES URSULINES,1,122,75105
REFLET MEDICIS 1,3,372,75105
EPEE DE BOIS 1,2,140,75105
LA CLEF 1,2,188,75105
LE GRAND ACTION 1,2,346,75105
GAUMONT GOBELINS 1,5,1162,75113
UGC GOBELINS 3,7,1148,75113
ESCURIAL 1,2,329,75113
GRAND AUDITORIUM,1,128,75105
MK2 GRAND PALAIS,1,92,75108
MK2 BIBLIOTHEQUE A,16,2981,75113
CLUB DE L ETOILE,1,161,75117
MK2 QUAI DE LOIRE 1,6,1108,75119
ETOILE LILAS 1,7,1480,75120
REX 1,3,511,80001
PANDORA 1,3,257,78005
LE FOYER,2,270,35001
CINE 7 2,1,76,38002
TRAVELLING 1,4,797,34003
CENTRE CULTUREL LEDRU ROLLIN,1,130,47001
CARNOT 1,8,1380,47001
CINEMA DE L'ESPACE,1,79,50003
L' AIGLON,1,490,61214
STUDIO 1,2,345,73003
CINEMA MARCEL PAGNOL,1,164,30003
THEOPHILE DE VIAU,1,254,47004
LE GOELAND,1,320,85001
CINEMA MODERNE,1,286,36001
GALAXIE,2,444,40001
ESPACE CULTUREL AREA (EX-ESP,1,268,62014
REX,1,265,17004
RENOIR 1,3,431,13001
CEZANNE 1,9,1642,13001
LE MAZARIN 1,3,438,13001
ARMAND LUNEL,1,165,13001
VICTORIA 1 (EX NOUVEAU CASIN,5,996,73008
JEANNE D ARC,1,180,85003
CINE LAETITIA,1,426,2A004     
EMPIRE,1,1100,2A004     
ESPACE CULTUREL MUNICIPAL,1,319,2A004
AUDITORIUM PASCAL PAOLI,1,434,2A004     
ESPACE DIAMANT,1,295,2A004
LE FORUM,1,249,80016
LE DOME GAMBETTA,1,247,73011
LE DOME,2,365,73011
CINEMOVIDA LAPEROUSE 1,3,443,81004
SALLE MANUEL JOSE ARCE,1,142,81004
TIVOLI 1,4,847,81004
CASSE-MASSION,1,214,73013
NORMANDY 1,4,734,61001
ARCADES 1,5,547,30007
ARCADES BIS 3,3,426,30007
BEL ' DONNE 1,2,241,38006
SALLE POLYVALENTE,1,600,72003
CINEMA DE L'AIGUILLE,1,187,4006
LORES,1,230,73015
LE MOTTARET,1,172,73015
PALACE LUMIERE 1,4,576,68004
EVASION,1,246,33003
LA FACADE 1,2,302,63003
CINEA 1,2,354,37003
CASINO MUNICIPAL,1,440,66003
STUDIO ORSON WELLES (EX-PETIT THEATRE),1,188,80021
CINE SAINT LEU,1,254,80021
GAUMONT 1,12,2682,80021
GAUMONT 1,12,2568,57019
EDEN,1,256,44003
CINEMA DE LA VIOUZE,1,347,63004
PALACE 1,2,520,27016
REX,1,219,33005
NORMANDIE,1,250,28007
GAUMONT VARIETES 1,5,1415,49007
LES 400 COUPS 1,7,886,49007
GAUMONT 1,12,2522,49007
LE CASTEILL,1,197,66004
MONCINE 1,7,1095,64024
SALLE NEMO,2,294,16015
MEGA CGR 1,11,1876,16015
IDEAL CINEMA,1,206,59008
DECAVISION 1,10,1839,74010
NEMOURS 1,4,448,74010
MJC NOVEL,1,174,74010
ESPACE 300,2,1188,74010
CINE ACTUEL MJC,1,117,74012
SALEVE 1,2,475,74012
NACELLES 1,4,552,7010
SALLE DE CINEMA,1,120,71009
CASINO 1,3,456,6004
SELECT L DAQU,1,225,92002
CESAR 1,3,415,84003
CHOUCA 1,2,352,74014
GRAND ECRAN 1,3,519,33009
